country,date,ypred,yerr,ytrue
ARE,2020-05-05,7.422365,8.248306849994052,NA
ARE,2020-05-06,7.0218287,7.986476803953026,NA
ARE,2020-05-07,6.427786,7.6076176516716885,NA
ARE,2020-05-08,5.6967263,7.120620147343721,NA
ARE,2020-05-09,4.538467,6.377543075748599,NA
ARE,2020-05-10,4.0408797,6.084098173670498,NA
ARE,2020-05-11,3.6266062,5.833064877866727,NA
ARE,2020-05-12,3.2005262,5.583735332979517,NA
ARE,2020-05-13,3.1163962,5.540747656650263,NA
ARE,2020-05-14,2.998169,5.484292791267675,NA
ARE,2020-05-15,2.7852578,5.38948253911663,NA
ARE,2020-05-16,2.58035,5.299374668700363,NA
ARE,2020-05-17,2.7261505,5.385428875054602,NA
ARE,2020-05-18,2.754966,5.416269431607207,NA
ARE,2020-05-19,2.7385247,5.435542589072147,NA
ARE,2020-05-20,2.7219162,5.449701208216752,NA
ARE,2020-05-21,2.6885614,5.444870324163004,NA
ARE,2020-05-22,2.6150546,5.405765097158288,NA
ARE,2020-05-23,2.5596457,5.386025023596865,NA
ARE,2020-05-24,2.3392766,5.27816959569001,NA
ARE,2020-05-25,2.2433665,5.2502232618214615,NA
ARE,2020-05-26,2.163592,5.230825982798426,NA
ARE,2020-05-27,2.0264919,5.1767159196736205,NA
ARE,2020-05-28,1.8115819,5.078105722527829,NA
ARE,2020-05-29,1.7383547,5.0640829069703175,NA
ARE,2020-05-30,1.5967593,4.998014826913254,NA
ARE,2020-05-31,1.4777019,4.934915442475104,NA
ARE,2020-06-01,1.3621006,4.8657793695526514,NA
ARE,2020-06-02,1.2869354,4.813085752443756,NA
ARE,2020-06-03,1.2294301,4.765037932241684,NA
ARE,2020-06-04,1.2334672,4.7536249549748275,NA
ARE,2020-06-05,1.2633239,4.751189251928912,NA
ARE,2020-06-06,1.3096324,4.751204584591971,NA
ARE,2020-06-07,1.3230191,4.741731554265461,NA
ARE,2020-06-08,1.3056102,4.7209630970888785,NA
ARE,2020-06-09,1.3917401,4.757343125766592,NA
ARE,2020-06-10,1.3463633,4.736139147946458,NA
ARE,2020-06-11,1.2456342,4.685787777651502,NA
ARE,2020-06-12,1.1453092,4.641276326664925,NA
ARE,2020-06-13,1.0643417,4.604405652769329,NA
ARE,2020-06-14,0.9699728,4.566967305277151,NA
ARE,2020-06-15,0.8724551,4.525853134348322,NA
ARE,2020-06-16,0.76372063,4.475127939125455,NA
ARE,2020-06-17,0.65156275,4.423358297497557,NA
ARE,2020-06-18,0.5621984,4.378016692325367,NA
ARE,2020-06-19,0.53243184,4.3564407148943545,NA
ARE,2020-06-20,0.4866299,4.328834255056943,NA
ARE,2020-06-21,0.49116832,4.322958559534758,NA
ARE,2020-06-22,0.48471063,4.317565842898926,NA
ARE,2020-06-23,0.5144651,4.329999172386008,NA
ARE,2020-06-24,0.5413665,4.34379455344148,NA
ARE,2020-06-25,0.6066141,4.371595592074376,NA
ARE,2020-06-26,0.6623198,4.393816271480673,NA
ARE,2020-06-27,0.72567844,4.418863636840885,NA
ARE,2020-06-28,0.7767128,4.439967952351137,NA
ARE,2020-06-29,0.8083954,4.452584178604705,NA
ARE,2020-06-30,0.83882767,4.465162803327439,NA
ARE,2020-07-01,0.89232236,4.4877018180239086,NA
ARE,2020-07-02,0.9302837,4.504952889282116,NA
ARE,2020-07-03,0.9778213,4.524719612472188,NA
ARE,2020-07-04,1.0727963,4.561182875606507,NA
ARE,2020-07-05,1.2045311,4.617890729929565,NA
ARE,2020-07-06,1.4083658,4.709205499966605,NA
ARE,2020-07-07,1.5484346,4.81139879444388,NA
ARE,2020-07-08,1.5720767,4.91446203501804,NA
ARE,2020-07-09,1.5847907,5.0381699762740935,NA
ARE,2020-07-10,1.5138623,5.119412281871705,NA
ARE,2020-07-11,1.3448887,5.1104799104497225,NA
ARE,2020-07-12,1.1535975,5.011184489290565,NA
ARE,2020-07-13,1.3591101,4.993361728738307,NA
ARE,2020-07-14,1.9094172,5.184037631347614,NA
ARE,2020-07-15,2.1815927,5.243385989287445,NA
ARE,2020-07-16,1.7813747,5.053311711171494,NA
ARE,2020-07-17,1.4338844,4.890423339849055,NA
ARE,2020-07-18,1.2580296,4.809007264070109,NA
ARE,2020-07-19,1.0736078,4.724695505353484,NA
ARE,2020-07-20,0.9382199,4.659845641882785,NA
ARE,2020-07-21,0.7368051,4.572008100789442,NA
ARE,2020-07-22,0.59941626,4.513907529571875,NA
ARE,2020-07-23,0.52279377,4.4818648192227775,NA
ARE,2020-07-24,0.43296552,4.4459860226017245,NA
ARE,2020-07-25,0.37899405,4.426684390191103,NA
ARE,2020-07-26,0.32381207,4.406949427517367,NA
ARE,2020-07-27,0.330716,4.411195114931036,NA
ARE,2020-07-28,0.335069,4.413033939307876,NA
ARE,2020-07-29,0.35489815,4.421922868184526,NA
ARE,2020-07-30,0.40227568,4.442716149672727,NA
ARE,2020-07-31,0.52483064,4.492206335392547,NA
ARE,2020-08-01,0.48678207,4.473611830799663,NA
ARE,2020-08-02,0.40010035,4.445883804847999,NA
ARE,2020-08-03,0.38919288,4.448147928093019,NA
ARE,2020-08-04,0.3881039,4.450217107479148,NA
ARE,2020-08-05,0.39283824,4.457169740049512,NA
ARE,2020-08-06,0.38287336,4.45825726393647,NA
ARE,2020-08-07,0.3721156,4.457983831445254,NA
ARE,2020-08-08,0.3808784,4.46978596630308,NA
ARE,2020-08-09,0.39763528,4.490255801613421,NA
ARE,2020-08-10,0.21296132,4.417856426903283,NA
ARE,2020-08-11,0.46709198,4.543424001150328,NA
ARE,2020-08-12,0.43588048,4.514665036139662,NA
ARE,2020-08-13,0.57365435,4.589002532473117,NA
ARE,2020-08-14,0.6887387,4.636890089839883,NA
ARE,2020-08-15,0.8059318,4.681623134314,NA
ARE,2020-08-16,0.89339006,4.712439596681798,NA
ARE,2020-08-17,0.9411009,4.725637734004789,NA
ARE,2020-08-18,0.9865595,4.73814334604629,NA
ARE,2020-08-19,1.0412328,4.756908335249853,NA
ARE,2020-08-20,1.0954846,4.7788417097555,NA
ARE,2020-08-21,1.191563,4.8246798011600704,NA
ARE,2020-08-22,1.2900956,4.876349050351274,NA
ARE,2020-08-23,1.328037,4.9060856551636425,NA
ARE,2020-08-24,1.4066049,4.95293241675944,NA
ARE,2020-08-25,1.4770557,4.986188232807216,NA
ARE,2020-08-26,1.5205724,5.001805645322845,NA
ARE,2020-08-27,1.6377785,5.050693111359091,NA
ARE,2020-08-28,1.9250079,5.179002676849822,NA
ARE,2020-08-29,2.2140524,5.31318392216527,NA
ARE,2020-08-30,2.2318711,5.329651567353852,NA
ARE,2020-08-31,2.1484451,5.292221981383422,NA
ARE,2020-09-01,2.0811605,5.266239688640027,NA
ARE,2020-09-02,2.1528993,5.3060191877559255,NA
ARE,2020-09-03,2.2266681,5.353796495974032,NA
ARE,2020-09-04,2.3888946,5.440856452012248,NA
ARE,2020-09-05,2.8168302,5.6668128123199075,NA
ARE,2020-09-06,3.2001674,5.875421359566727,NA
ARE,2020-09-07,3.4527526,6.011590375128729,NA
ARE,2020-09-08,3.5482447,6.06788132704195,NA
ARE,2020-09-09,3.8671234,6.227205584330025,NA
ARE,2020-09-10,4.271283,6.422244359706379,NA
ARE,2020-09-11,4.82249,6.688219335660973,NA
ARE,2020-09-12,4.949116,6.762489295264288,NA
ARE,2020-09-13,5.1213202,6.840838473368063,NA
ARE,2020-09-14,4.9876566,6.767448316573599,NA
ARE,2020-09-15,4.8312745,6.699170507719034,NA
ARE,2020-09-16,4.489375,6.559426426220483,NA
ARE,2020-09-17,3.852135,6.2966340730408135,NA
ARE,2020-09-18,3.2168612,6.056880141297244,NA
ARE,2020-09-19,2.6480231,5.852513995893439,NA
ARE,2020-09-20,2.1460798,5.657619420562518,NA
ARE,2020-09-21,1.8018539,5.518144390794308,NA
ARE,2020-09-22,1.5987217,5.43593612742399,NA
ARE,2020-09-23,1.4987763,5.389941423818176,NA
ARE,2020-09-24,1.4042165,5.3187511391092475,NA
ARE,2020-09-25,1.4773935,5.405724210056798,NA
ARE,2020-09-26,1.5229343,5.484046738531922,NA
ARE,2020-09-27,1.6002321,5.572762987243898,NA
AUS,2020-04-11,1.538259,6.334472164962739,NA
AUS,2020-04-12,1.3431867,6.266076075564579,NA
AUS,2020-04-13,0.9434235,6.088450459598767,NA
AUS,2020-04-14,0.62706596,5.951199761164305,NA
AUS,2020-04-15,0.35462415,5.825078750793518,NA
AUS,2020-04-16,0.23910196,5.776124478153944,NA
AUS,2020-04-17,0.1927546,5.770539373103065,NA
AUS,2020-04-18,0.0965219,5.72603923908208,NA
AUS,2020-04-19,0.00662069,5.677761793997532,NA
AUS,2020-04-20,0.0,5.637539107906552,NA
AUS,2020-04-21,0.0,5.592819205715057,NA
AUS,2020-04-22,0.0,5.553175145122845,NA
AUS,2020-04-23,0.0,5.524869588862633,NA
AUS,2020-04-24,0.0,5.504033594955911,NA
AUS,2020-04-25,0.0,5.474042540949446,NA
AUS,2020-04-26,0.0,5.438078319491352,NA
AUS,2020-04-27,0.0,5.4043285726550385,NA
AUS,2020-04-28,0.0,5.3710592492612355,NA
AUS,2020-04-29,0.0,5.351704317593314,NA
AUS,2020-04-30,0.0,5.324465841669315,NA
AUS,2020-05-01,0.0,5.312129253984867,NA
AUS,2020-05-02,0.0,5.306244431877528,NA
AUS,2020-05-03,0.0,5.295715273116991,NA
AUS,2020-05-04,0.0,5.296528999449326,NA
AUS,2020-05-05,0.0,5.295171328641809,NA
AUS,2020-05-06,0.0,5.289707059578369,NA
AUS,2020-05-07,0.0,5.28798030966722,NA
AUS,2020-05-08,0.0,5.290998653909371,NA
AUS,2020-05-09,0.0,5.291983960042604,NA
AUS,2020-05-10,0.0,5.291506822170749,NA
AUS,2020-05-11,0.0,5.293747581357775,NA
AUS,2020-05-12,0.0,5.287844506080128,NA
AUS,2020-05-13,0.010576218,5.290156452631354,NA
AUS,2020-05-14,0.029111177,5.283536392824004,NA
AUS,2020-05-15,0.05214621,5.2694865625744365,NA
AUS,2020-05-16,0.079760686,5.251261137085182,NA
AUS,2020-05-17,0.10893272,5.234897534967356,NA
AUS,2020-05-18,0.12625715,5.2203296797444425,NA
AUS,2020-05-19,0.13904534,5.207100512031928,NA
AUS,2020-05-20,0.14860156,5.196117944520936,NA
AUS,2020-05-21,0.15155517,5.18677013094274,NA
AUS,2020-05-22,0.15021744,5.179091387257519,NA
AUS,2020-05-23,0.14170814,5.174587600015693,NA
AUS,2020-05-24,0.1401849,5.16420264130059,NA
AUS,2020-05-25,0.13842921,5.154078337857486,NA
AUS,2020-05-26,0.12186107,5.149728607373061,NA
AUS,2020-05-27,0.11096595,5.139088469337049,NA
AUS,2020-05-28,0.10370359,5.135583130511078,NA
AUS,2020-05-29,0.104328796,5.126304313916647,NA
AUS,2020-05-30,0.11124627,5.113223361947034,NA
AUS,2020-05-31,0.12241532,5.106271094440076,NA
AUS,2020-06-01,0.13436657,5.0941163083318965,NA
AUS,2020-06-02,0.14441188,5.089698310990518,NA
